,Store name,Store URL,Area,Postcode,Phone
39,Bluewater - JL Foodhall,https://www.waitrose.com//content/waitrose/en/bf_home/bf/493.html,Kent,DA99SA,0132262412
40,Brackley,https://www.waitrose.com//content/waitrose/en/bf_home/bf/797.html,Northamptonshire,NN136BE,0128070333
41,Bracknell,http://www.waitrose.com/content/waitrose/en/bf_home/bf/706.html,Berkshire,RG121RQ,0134486237
42,Brent Cross,https://www.waitrose.com//content/waitrose/en/bf_home/bf/119.html,London,NW43FQ,0208203971
43,Bridport,https://www.waitrose.com//content/waitrose/en/bf_home/bf/475.html,Dorset,DT63QP,0130842225
44,Brighton,https://www.waitrose.com//content/waitrose/en/bf_home/bf/114.html,EastSussex,BN12LA,0127332654
45,Brighton Road - Horley,https://www.waitrose.com//bf_home/bf/802.html,Surrey,RH67JU,0129378564
46,Bromley,https://www.waitrose.com//content/waitrose/en/bf_home/bf/158.html,Kent,BR15AJ,0208460765
47,Bromley South,https://www.waitrose.com//content/waitrose/en/bf_home/bf/224.html,Kent,BR29HD,0208460775
48,Bromsgrove,https://www.waitrose.com//bf_home/bf/877.html,BROMSGROVE,B617JH,0152787618
49,Broxbourne,https://www.waitrose.com//bf_home/bf/575.html,Hertfordshire,EN106PY,0199244316
50,Buckhurst Hill,https://www.waitrose.com//content/waitrose/en/bf_home/bf/102.html,Essex,IG95EP,0208506133
51,Buckingham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/769.html,Buckinghamshire,MK181RS,0128081347
52,Burgess Hill,https://www.waitrose.com//content/waitrose/en/bf_home/bf/123.html,WestSussex,RH159NP,0144423009
53,Burgh Heath,https://www.waitrose.com//bf_home/bf/567.html,Surrey,KT206BX,0173736257
54,Burnt Common,https://www.waitrose.com//bf_home/bf/571.html,Surrey,GU237JY,0148322346
55,Bury St Edmunds,https://www.waitrose.com//content/waitrose/en/bf_home/bf/140.html,Suffolk,IP333DH,0128472522
56,Buxton,https://www.waitrose.com//content/waitrose/en/bf_home/bf/748.html,Derbyshire,SK176DF,0129876746
57,Byres Road,https://www.waitrose.com//content/waitrose/en/bf_home/bf/308.html,Glasgow,G128AU,0141337331
58,Caldicot,https://www.waitrose.com//content/waitrose/en/bf_home/bf/476.html,Monmouthshire,NP264UX,0129142101
59,Cambridge,https://www.waitrose.com//content/waitrose/en/bf_home/bf/651.html,Cambridgeshire,CB29FT,0122384577
60,Cambridge- Fitzroy Street,http://www.waitrose.com/content/waitrose/en/bf_home/bf/552.html,Cambridge,CB11EW,0122330112
61,Camden,https://www.waitrose.com//bf_home/bf/536.html,London,NW17JR,0207267938
62,Canary Wharf,https://www.waitrose.com//content/waitrose/en/bf_home/bf/664.html,London,E145EW,0207719030
63,Canterbury,http://www.waitrose.com/content/waitrose/en/bf_home/bf/533.html,KENT,CT11UL,0122778580
64,Caterham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/178.html,Surrey,CR36LB,0188334617
65,Caversham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/184.html,Berkshire,RG48AY,0118948291
66,Chandlers Ford,https://www.waitrose.com//content/waitrose/en/bf_home/bf/668.html,Hampshire,SO532LG,0238026023
67,Cheadle Hulme,https://www.waitrose.com//content/waitrose/en/bf_home/bf/710.html,Cheshire,SK85AE,0161486170
68,Cheam,https://www.waitrose.com//content/waitrose/en/bf_home/bf/559.html,Surrey,SM38BD,0208643843
69,Cheltenham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/663.html,Gloucestershire,GL503QW,0124224142
70,Chesham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/192.html,Buckinghamshire,HP51DR,0149479171
71,Chester,https://www.waitrose.com//bf_home/bf/842.html,Cheshire,CH35AF,0124434290
72,Chichester,https://www.waitrose.com//content/waitrose/en/bf_home/bf/208.html,WestSussex,PO191RD,0124353751
73,Chippenham,http://www.waitrose.com/content/waitrose/en/bf_home/bf/523.html,Wiltshire,SN153WL,0124946298
74,Chipping Sodbury,https://www.waitrose.com//bf_home/bf/751.html,SthGloucestershire,BS376AU,0145432651
75,Chiswick,https://www.waitrose.com//content/waitrose/en/bf_home/bf/760.html,London,W45TA,0208994605
76,Christchurch,https://www.waitrose.com//content/waitrose/en/bf_home/bf/754.html,Dorset,BH231QD,0120249668
77,Cirencester,https://www.waitrose.com//content/waitrose/en/bf_home/bf/220.html,Gloucestershire,GL71SZ,0128564373
78,Clapham Common,http://www.waitrose.com/content/waitrose/en/bf_home/bf/616.html,London,SW40HY,0203202004
79,Clapham Junction,https://www.waitrose.com//content/waitrose/en/bf_home/bf/767.html,London,SW111PW,0207978740
80,Clerkenwell,https://www.waitrose.com//content/waitrose/en/bf_home/bf/492.html,London,EC1V4DE,0207253197
81,Clifton,https://www.waitrose.com//content/waitrose/en/bf_home/bf/834.html,Avon,BS81QS,0117930043
82,Cobham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/176.html,Surrey,KT111AF,0193286535
83,Colchester,https://www.waitrose.com//content/waitrose/en/bf_home/bf/455.html,Essex,CO43EQ,0120686123
84,Comely Bank,https://www.waitrose.com//content/waitrose/en/bf_home/bf/750.html,Scotland,EH41AW,0131332631
85,Coulsdon,https://www.waitrose.com//content/waitrose/en/bf_home/bf/129.html,Surrey,CR52NB,0208668665
86,Cowbridge,http://www.waitrose.com/content/waitrose/en/bf_home/bf/735.html,ValeofGlamorgan,CF717AG,0144677492
87,Crewkerne,https://www.waitrose.com//content/waitrose/en/bf_home/bf/458.html,Somerset,TA188DA,014607247
88,Crouch End,https://www.waitrose.com//content/waitrose/en/bf_home/bf/835.html,London,N88DU,0208348124
89,Crowborough,https://www.waitrose.com//content/waitrose/en/bf_home/bf/110.html,EastSussex,TN61DL,0189266286
90,Croydon,https://www.waitrose.com//content/waitrose/en/bf_home/bf/477.html,Surrey,CR01LG,0208688954
91,Daventry,https://www.waitrose.com//content/waitrose/en/bf_home/bf/156.html,Northamptonshire,NN114DR,0132770593
92,"Dibden (Hythe), Hampshire",https://www.waitrose.com//content/waitrose/en/bf_home/bf/118.html,Southampton,SO456AG,0238084471
93,Dorchester,https://www.waitrose.com//content/waitrose/en/bf_home/bf/120.html,Dorset,DT11BN,0130526842
94,Dorking,https://www.waitrose.com//content/waitrose/en/bf_home/bf/527.html,Surrey,RH42HQ,0130688117
95,Droitwich,https://www.waitrose.com//content/waitrose/en/bf_home/bf/672.html,Worcestershire,WR98LB,0190579839
96,Ealing,https://www.waitrose.com//bf_home/bf/586.html,London,W53HJ,0208991956
97,East Cowes,https://www.waitrose.com//content/waitrose/en/bf_home/bf/313.html,IsleofWight,PO326SP,0198328241
98,East Grinstead,https://www.waitrose.com//content/waitrose/en/bf_home/bf/741.html,EastGrinstead,RH194YZ,0134232372
99,East Putney,https://www.waitrose.com//bf_home/bf/820.html,Putney,SW152TD,0208785168
100,East Sheen,https://www.waitrose.com//content/waitrose/en/bf_home/bf/149.html,London,SW147JG,0208878479
101,Eastbourne,https://www.waitrose.com//content/waitrose/en/bf_home/bf/757.html,EastSussex,BN211HR,0132364450
102,Edenbridge,https://www.waitrose.com//bf_home/bf/556.html,Kent,TN85LN,0173286704
103,Edgware Road,https://www.waitrose.com//content/waitrose/en/bf_home/bf/768.html,London,W22DS,0207725975
104,Egham ,https://www.waitrose.com//content/waitrose/en/bf_home/bf/519.html,Egham,TW209HZ,0178447983
105,Eldon Square,https://www.waitrose.com//content/waitrose/en/bf_home/bf/461.html,NewcastleuponTyne,NE17JD,0191233281
106,Ely,https://www.waitrose.com//content/waitrose/en/bf_home/bf/205.html,Cambridgeshire,CB74QJ,0135366880
107,Enfield,https://www.waitrose.com//content/waitrose/en/bf_home/bf/179.html,Mddlesex,EN26SN,0208366687
108,Enfield Chase,http://www.waitrose.com/content/waitrose/en/bf_home/bf/521.html,London,EN27AS,0208366652
109,Epsom,https://www.waitrose.com//content/waitrose/en/bf_home/bf/104.html,Surrey,KT185DB,0137272566
110,Esher,https://www.waitrose.com//content/waitrose/en/bf_home/bf/121.html,Surrey,KT109QE,0137246882
111,Exeter,http://www.waitrose.com/content/waitrose/en/bf_home/bf/702.html,Devon,EX12ED,0139227674
112,Farringdon,https://www.waitrose.com//bf_home/bf/871.html,Oxfordshire,SN77GQ,0136724260
113,Farnham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/692.html,Surrey,GU97HD,0125271930
114,Finchley,https://www.waitrose.com//content/waitrose/en/bf_home/bf/215.html,London,N128NR,0208343730
115,Finchley Central,https://www.waitrose.com//bf_home/bf/876.html,London,N32LN,0208346197
116,Fleet,http://www.waitrose.com/content/waitrose/en/bf_home/bf/196.html,Hampshire,GU513LA,0125281269
117,Formby,https://www.waitrose.com//content/waitrose/en/bf_home/bf/749.html,Merseyside,L374AJ,0170487301
118,Four Oaks,https://www.waitrose.com//content/waitrose/en/bf_home/bf/150.html,WestMidlands,B744AB,0121308600
119,Frimley,https://www.waitrose.com//content/waitrose/en/bf_home/bf/652.html,Surrey,GU167JD,012762747
120,Fulham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/681.html,London,SW61LX,0207385456
121,Fulham Palace Road,http://www.waitrose.com/content/waitrose/en/bf_home/bf/530.html,London,W68QX,0207381675
122,Gerrards Cross,http://www.waitrose.com/content/waitrose/en/bf_home/bf/459.html,Buckinghamshire,SL98ES,0175388844
123,Gillingham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/105.html,Dorset,SP84UA,0174782620
124,Gloucester Road,https://www.waitrose.com//content/waitrose/en/bf_home/bf/230.html,London,SW74SF,0207370242
125,Godalming,http://www.waitrose.com/content/waitrose/en/bf_home/bf/216.html,Surrey,GU71HY,0148341816
126,Goldsworth Park,https://www.waitrose.com//content/waitrose/en/bf_home/bf/181.html,Surrey,GU213LG,0148372575
127,Gosport,https://www.waitrose.com//content/waitrose/en/bf_home/bf/152.html,Hampshire,PO121SD,0239251126
128,Great Malvern,https://www.waitrose.com//content/waitrose/en/bf_home/bf/237.html,Worcestershire,WR144WR,0168456000
129,Green Street Green,https://www.waitrose.com//content/waitrose/en/bf_home/bf/165.html,Kent,BR66BG,0168985309
130,Greenwich,http://www.waitrose.com/content/waitrose/en/bf_home/bf/740.html.html,Greenwich,SE109DD,0208293959
131,Guildford,https://www.waitrose.com//bf_home/bf/589.html,Surrey,GU14QG,0148345396
132,Guildford - Worplesdon Road,https://www.waitrose.com//bf_home/bf/808.html,Surrey,GU29UY,0148345988
133,Hailsham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/653.html,EastSussex,BN271BE,0132384670
134,Hall Green,https://www.waitrose.com//content/waitrose/en/bf_home/bf/122.html,WestMidlands,B289EF,0121778425
135,Hampton,http://www.waitrose.com/content/waitrose/en/bf_home/bf/612.html,Surrey,TW122HQ,0208979736
136,Harborne,https://www.waitrose.com//content/waitrose/en/bf_home/bf/796.html,WestMidlands,B179PP,0121428404
137,Harpenden,https://www.waitrose.com//content/waitrose/en/bf_home/bf/183.html,Hertfordshire,AL52TJ,0158276516
138,Harrogate,https://www.waitrose.com//content/waitrose/en/bf_home/bf/684.html,NorthYorkshire,HG11HD,0142350133
139,Harrow Weald,https://www.waitrose.com//content/waitrose/en/bf_home/bf/143.html,Middlesex,HA36HF,0208861391
140,Haslemere,https://www.waitrose.com//content/waitrose/en/bf_home/bf/478.html,Surrey,GU272AB,0142864472
141,Havant,https://www.waitrose.com//content/waitrose/en/bf_home/bf/171.html,Hampshire,PO91PR,0239245123
142,Hawkhurst,https://www.waitrose.com//bf_home/bf/529.html,Kent,TN184JB,0158075284
143,Haywards Heath,https://www.waitrose.com//bf_home/bf/873.html,HaywardsHeath,RH163DP,0144444125
144,Hazlemere,https://www.waitrose.com//bf_home/bf/584.html,Buckinghamshire,HP157LG,0149471685
145,Headington,https://www.waitrose.com//content/waitrose/en/bf_home/bf/479.html,Oxford,OX39HP,0186530880
146,Headington - London Road,https://www.waitrose.com//bf_home/bf/806.html,Oxfordshire,OX37RD,0186575029
147,Heathfield,https://www.waitrose.com//bf_home/bf/595.html,EastSussex,TN218DF,0143586796
148,Helensburgh,http://www.waitrose.com/content/waitrose/en/bf_home/bf/771.html,Argyll&amp;Bute,G847LA,0143667553
149,Henley-on-Thames,https://www.waitrose.com//content/waitrose/en/bf_home/bf/214.html,Oxfordshire,RG92BA,0149141044
150,Hereford,https://www.waitrose.com//bf_home/bf/507.html,Hereford,HR49HX,0143234384
151,Hersham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/765.html,Surrey,KT124HL,0193224479
152,Hexham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/782.html,Northumberland,NE463PJ,0143460039
153,High Holborn,http://www.waitrose.com/content/waitrose/en/bf_home/bf/601.html,London,WC1V7EX,0207831355
154,High Wycombe ,https://www.waitrose.com//bf_home/bf/607.html,Buckinghamshire,HP111TJ,0149444165
155,Highbury Corner,http://www.waitrose.com/content/waitrose/en/bf_home/bf/637.html,Islington,N51RD,0207609659
156,Hitchin,https://www.waitrose.com//content/waitrose/en/bf_home/bf/685.html,Hertfordshire,SG51HF,0146242339
157,Holloway Road,https://www.waitrose.com//content/waitrose/en/bf_home/bf/112.html,London,N76PA,0207700371
158,Holsworthy,https://www.waitrose.com//content/waitrose/en/bf_home/bf/480.html,Devon,EX226AZ,0140925546
159,Horley,https://www.waitrose.com//content/waitrose/en/bf_home/bf/233.html,Surrey,RH67PZ,0129382000
160,Horsham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/580.html,WestSussex,RH121AJ,0140327531
161,Hove,https://www.waitrose.com//content/waitrose/en/bf_home/bf/605.html,Sussex,BN37BZ,0127332990
162,Hythe (Kent),https://www.waitrose.com//content/waitrose/en/bf_home/bf/654.html,Kent,CT215NH,0130323031
163,Ipswich,http://www.waitrose.com/content/waitrose/en/bf_home/bf/632.html,Ipswich,IP39SQ,0147371982
164,Ipswich- Corn Exchange,http://www.waitrose.com/content/waitrose/en/bf_home/bf/743.html,Ipswich,IP11AS,0147325183
165,Islington,https://www.waitrose.com//content/waitrose/en/bf_home/bf/780.html,London,N10RW,0207278220
166,Jesmond,http://www.waitrose.com/content/waitrose/en/bf_home/bf/520.html,TyneandWear,NE22AN,0191281002
167,John Barnes,https://www.waitrose.com//content/waitrose/en/bf_home/bf/174.html,London,NW36NN,0207624045
168,Kenilworth,https://www.waitrose.com//content/waitrose/en/bf_home/bf/460.html,Warwickshire,CV81JP,0192685846
169,Kensington,https://www.waitrose.com//content/waitrose/en/bf_home/bf/678.html,London,W86SA,0207795660
170,Kensington Gardens,https://www.waitrose.com//bf_home/bf/535.html,London,W23HJ,0207262371
171,Keynsham,https://www.waitrose.com//bf_home/bf/557.html,Bristol,BS311ST,0117986663
172,Kings Cross,https://www.waitrose.com//bf_home/bf/590.html,London,N1C4BZ,0207372533
173,Kings Cross Station,https://www.waitrose.com//bf_home/bf/619.html,London,N1C4AP,0207278247
174,Kings Hill,http://www.waitrose.com/content/waitrose/en/bf_home/bf/744.html,Kent,ME194QJ,0173287147
175,Kings Road,https://www.waitrose.com//content/waitrose/en/bf_home/bf/173.html,London,SW35XP,0207351277
176,Kingsthorpe,http://www.waitrose.com/content/waitrose/en/bf_home/bf/148.html,Northamptonshire,NN27BD,0160479143
177,Kingston,http://www.waitrose.com/content/waitrose/en/bf_home/bf/195.html,Surrey,KT11TG,0208547345
178,Knightsbridge,http://www.waitrose.com/content/waitrose/en/bf_home/bf/641.html,London,SW31JE,0207589359
179,Knutsford,http://www.waitrose.com/content/waitrose/en/bf_home/bf/326.html,Knutsford,WA166BU,0156575585
180,Leatherhead,https://www.waitrose.com//bf_home/bf/859.html,Surrey,KT228DW,0137237385
181,Leigh On Sea,https://www.waitrose.com//content/waitrose/en/bf_home/bf/481.html,Essex,SS93JQ,0170248387
182,Leighton Buzzard,https://www.waitrose.com//content/waitrose/en/bf_home/bf/154.html,Bedfordshire,LU71DH,0152537833
183,Lewes,https://www.waitrose.com//content/waitrose/en/bf_home/bf/727.html,EastSussex,BN72LP,0127348628
184,Lichfield,https://www.waitrose.com//content/waitrose/en/bf_home/bf/699.html,Staffordshire,WS136RX,0154341908
185,Lincoln,https://www.waitrose.com//content/waitrose/en/bf_home/bf/694.html,Lincolnshire,LN24DS,0152251050
186,Locks Heath,https://www.waitrose.com//bf_home/bf/563.html,Hampshire,SO316DX,0148957869
187,Longfield,https://www.waitrose.com//content/waitrose/en/bf_home/bf/109.html,Kent,DA37QA,0147470893
188,Lutterworth,https://www.waitrose.com//content/waitrose/en/bf_home/bf/487.html,Leicestershire,LE174NF,0145555792
189,Lymington,https://www.waitrose.com//content/waitrose/en/bf_home/bf/798.html,Hampshire,SO419GF,0159067194
190,Maidenhead,https://www.waitrose.com//content/waitrose/en/bf_home/bf/194.html,Berkshire,SL68AF,0162877712
191,Malmesbury,https://www.waitrose.com/bf_home/bf/511.html,Malmesbury,SN169FS,0166682502
192,"Manchester, Spinningfields",https://www.waitrose.com//bf_home/bf/558.html,Manchester,M33BN,0161833160
193,Manchester Piccadilly,https://www.waitrose.com//bf_home/bf/636.html,Manchester,M12GH,0161237339
194,Market Harborough,http://www.waitrose.com/content/waitrose/en/bf_home/bf/728.html,Leicestershire,LE168BD,0185846915
195,Marlborough,https://www.waitrose.com//content/waitrose/en/bf_home/bf/164.html,Wiltshire,SN81AA,0167251333
196,Marlow,http://www.waitrose.com/content/waitrose/en/bf_home/bf/465.html,Buckinghamshire,SL71DD,0162848346
197,Marylebone,https://www.waitrose.com//content/waitrose/en/bf_home/bf/236.html,London,W1U4SD,0207935478
198,Meanwood,https://www.waitrose.com//content/waitrose/en/bf_home/bf/828.html,Yorkshire,LS64RJ,0113220096
199,Melksham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/319.html,Wiltshire,SN126LP,0122570929
200,Menai Bridge,https://www.waitrose.com//content/waitrose/en/bf_home/bf/318.html,Anglesey,LL595EA,0124871294
201,Mill Hill,https://www.waitrose.com//content/waitrose/en/bf_home/bf/670.html,London,NW71GU,0208371824
202,Milngavie,https://www.waitrose.com//content/waitrose/en/bf_home/bf/630.html,Glasgow,G626JP,0141956330
203,Milton Keynes,https://www.waitrose.com//content/waitrose/en/bf_home/bf/752.html,Buckinghamshire,MK109SU,0190823056
204,Monmouth,https://www.waitrose.com//content/waitrose/en/bf_home/bf/217.html,Monmouthshire,NP253EQ,0160077255
205,Monument,http://www.waitrose.com/content/waitrose/en/bf_home/bf/773.html,London,EC4R9AN,0207283172
206,Morningside,https://www.waitrose.com//content/waitrose/en/bf_home/bf/761.html,Scotland,EH104AX,0131447689
207,Mountsorrel,https://www.waitrose.com//bf_home/bf/403.html,Loughborough,LE127TZ,0150941530
208,Muswell Hill,http://www.waitrose.com/content/waitrose/en/bf_home/bf/639.html,London,N101DJ,0208883197
209,Nailsea,https://www.waitrose.com//content/waitrose/en/bf_home/bf/515.html,Avon,BS481AP,0127581200
210,New Malden,https://www.waitrose.com//content/waitrose/en/bf_home/bf/131.html,Surrey,KT34HE,0208942898
211,Newark,https://www.waitrose.com//content/waitrose/en/bf_home/bf/227.html,Nottinghamshire,NG241FF,0163664040
212,Newbury,https://www.waitrose.com//content/waitrose/en/bf_home/bf/676.html,Berkshire,RG141NB,0163555206
213,Newmarket,https://www.waitrose.com//content/waitrose/en/bf_home/bf/674.html,Suffolk,CB88NY,0163856172
214,Newport,https://www.waitrose.com//content/waitrose/en/bf_home/bf/687.html,Shropshire,TF107DL,0195281136
215,Newton Mearns,http://www.waitrose.com/content/waitrose/en/bf_home/bf/327.html,EastRenfrewshire,G776GW,0141616314
216,North Walsham,http://www.waitrose.com/content/waitrose/en/bf_home/bf/622.html,Walsham,NR280NB,0169250310
217,Northwich,https://www.waitrose.com//bf_home/bf/759.html,Cheshire,CW95HD,0160633312
218,Northwood,https://www.waitrose.com//content/waitrose/en/bf_home/bf/186.html,Middlesex,HA62XW,0192382051
219,Norwich,https://www.waitrose.com//content/waitrose/en/bf_home/bf/222.html,Norwich,NR46NU,0160345811
220,Notting Hill Gate,https://www.waitrose.com//bf_home/bf/644.html,London,W113QG,0207221974
221,Nottingham - Trinity Square,http://www.waitrose.com/content/waitrose/en/bf_home/bf/833.html,Nottinghamshire,NG14AF,0115941928
222,Oadby,https://www.waitrose.com//content/waitrose/en/bf_home/bf/847.html,Leicestershire,LE24LA,0116272080
223,Oakgrove-Milton Keynes,http://www.waitrose.com/content/waitrose/en/bf_home/bf/752.html.html,Buckinghamshire,MK109SU,0190823056
224,Okehampton,https://www.waitrose.com//content/waitrose/en/bf_home/bf/234.html,Devon,EX201WL,0183765900
225,Old Brompton Road,https://www.waitrose.com//content/waitrose/en/bf_home/bf/583.html,London,SW73RD,0207581576
226,Otley,https://www.waitrose.com//content/waitrose/en/bf_home/bf/691.html,WestYorkshire,LS213AS,0194346846
227,Oundle,https://www.waitrose.com//bf_home/bf/758.html,Northamptonshire,PE84BZ,0183227469
228,Oxford Botley Road,https://www.waitrose.com//bf_home/bf/581.html,Oxfordshire,OX20HH,0186520204
229,Oxford Street - JL Foodhall,https://www.waitrose.com//content/waitrose/en/bf_home/bf/456.html,London,W1A1EX,0203073050
230,Oxted,http://www.waitrose.com/content/waitrose/en/bf_home/bf/838.html,Surrey,RH80QE,0188371574
231,Paddock Wood,https://www.waitrose.com//content/waitrose/en/bf_home/bf/655.html,Kent,TN126EX,0189283664
232,Parkstone,https://www.waitrose.com//content/waitrose/en/bf_home/bf/766.html,Dorset,BH140AP,0120271805
233,Parsons Green,http://www.waitrose.com/content/waitrose/en/bf_home/bf/516.html,London,SW64TH,0207731542
234,Petersfield,https://www.waitrose.com//content/waitrose/en/bf_home/bf/209.html,Hampshire,GU323JA,0173023333
235,Petts Wood,https://www.waitrose.com//bf_home/bf/568.html,Kent,BR51EA,0168987303
236,Pimlico,https://www.waitrose.com//bf_home/bf/614.html,London,SW1V1QT,0207828511
237,Ponteland,https://www.waitrose.com//content/waitrose/en/bf_home/bf/482.html,Northumberland,NE209NH,0166182390
238,Pontprennau (Cardiff),https://www.waitrose.com//content/waitrose/en/bf_home/bf/457.html,Cardiff,CF238AN,0292073554
239,Portishead,https://www.waitrose.com//content/waitrose/en/bf_home/bf/669.html,Bristol,BS207DE,0127584790
240,Portman Square,https://www.waitrose.com//bf_home/bf/569.html,LONDON,W1U3AA,0207935280
241,Poundbury,http://www.waitrose.com/content/waitrose/en/bf_home/bf/733.html,Dorset,DT13BW,0130525093
242,Poynton,https://www.waitrose.com//content/waitrose/en/bf_home/bf/312.html,Stockport,SK121RD,0162585803
243,Putney,https://www.waitrose.com//content/waitrose/en/bf_home/bf/225.html,London,SW151TW,0208246684
244,Ramsgate,https://www.waitrose.com//content/waitrose/en/bf_home/bf/160.html,Kent,CT119EJ,0184358310
245,Raynes Park,http://www.waitrose.com/content/waitrose/en/bf_home/bf/846.html,London,SW200BS,0208944803
246,Reading,https://www.waitrose.com//content/waitrose/en/bf_home/bf/218.html,Berkshire,RG306WR,0118942244
247,Red Houses Jersey,http://www.waitrose.com/content/waitrose/en/bf_home/bf/336.html,StBrelade,JE38LB,0153488834
248,Richmond,https://www.waitrose.com//content/waitrose/en/bf_home/bf/188.html,Surrey,TW91AE,0208948628
249,Rickmansworth,https://www.waitrose.com//content/waitrose/en/bf_home/bf/698.html,Hertfordshire,WD31FX,0192371859
250,Ringwood,https://www.waitrose.com//content/waitrose/en/bf_home/bf/203.html,Hampshire,BH241AT,0142547772
